method,x0_x,x0_y,x_final_x,x_final_y,f_final,nit,grad_norm,success,u,A,g_prime
BFGS,-100,-100,4.6616571886008427e-07,-61174991.6763617,-3.1415926208964784,66,9.323314382545879e-07,True,-61174990.67636123,1.7471823100458482e-23,5.3441932073865685e-16
BFGS,-100,-90,-3.213919298216284e-06,-16237789.198199585,-3.141592530409991,61,6.427838588847209e-06,True,-16237788.198202798,9.3428473726461e-22,7.585359540971531e-15
BFGS,-100,-80,1.6656046755963594e-06,-13040691.333090572,-3.1415925002209226,60,3.3312093629532986e-06,True,-13040690.333088906,1.803674207419455e-21,1.1760579753123599e-14
BFGS,-100,-70,-7.217220615910762e-08,-13380659.388812035,-3.1415925041203288,60,1.4434440114765604e-07,True,-13380658.388812108,1.6696575115924423e-21,1.1170559646709055e-14
BFGS,-100,-60,-4.301767311403921e-06,-3436269.4288486866,-3.1415920715448347,55,8.603534453430448e-06,True,-3436268.4288529884,9.858212527008337e-20,1.693773962939204e-13
BFGS,-100,-50,-1.1334669482096764e-06,-905127.9636319615,-3.1415904439574116,50,2.266931455185875e-06,True,-905126.9636330949,5.394228312283297e-18,2.4412347923744276e-12
BFGS,-100,-40,-9.132550794234e-07,-2138368.116461644,-3.1415917182965196,55,1.8265097214608787e-06,True,-2138367.116462557,4.090837944366294e-19,4.373859737628041e-13
BFGS,-100,-30,-5.389514468588877e-07,-68164745.0790631,-3.1415926242488226,67,1.0779028932873376e-06,True,-68164744.07906364,1.2629336564934511e-23,4.304377568905627e-16
BFGS,-100,-20,-3.0505920508526113e-06,-10798313.97931828,-3.141592468366396,62,6.101184084553093e-06,True,-10798312.97932133,3.1768161178668898e-21,1.7152129741850866e-14
BFGS,-100,-10,4.6430834912381636e-07,-24421141.60307692,-3.141592571693326,64,9.286167016011307e-07,True,-24421140.603076454,2.7463891782845956e-22,3.3534980196619417e-15
BFGS,-100,0,1.658090457062932e-14,-556.560353986776,-3.138002356167455,24,9.114829310282614e-06,True,-555.560353986776,2.3140318551471434e-08,6.445157598077834e-06
BFGS,-100,10,-4.359299859478702e-06,-637.1573773150847,-3.138456158197096,27,6.2155552325780615e-06,True,-636.1573816743845,1.54280166760542e-08,4.918824800623629e-06
BFGS,-100,20,4.783205901130779e-06,-3783.5692590494314,-3.1410641219430673,33,9.70708957039063e-06,True,-3782.5692542662255,7.382154189074165e-11,1.3967285739872278e-07
BFGS,-100,30,-6.199499358559829e-07,-16684.1186242981,-3.141472782703611,39,1.2327362932567945e-06,True,-16683.11862491805,8.612141506347439e-13,7.184514680462122e-09
BFGS,-100,40,2.8553376683573177e-06,-1194.1818270349224,-3.1399185654308774,25,7.248697896708904e-06,True,-1193.1818241795847,2.3458850164171013e-09,1.4012874500358723e-06
BFGS,-100,50,3.3773377993629835e-06,-2792.4320156783765,-3.140876560067118,33,7.015757239811718e-06,True,-2791.432012301039,1.8360290140125746e-10,2.563950214397879e-07
BFGS,-100,60,3.9954945387017494e-06,-2470.9667247291754,-3.140783417256464,32,8.32486262196974e-06,True,-2469.966720733681,2.649698795468414e-10,3.274318114156042e-07
BFGS,-100,70,4.512992379000424e-06,-1652.4544676873431,-3.140382698033718,26,9.785398385842851e-06,True,-1651.4544631743508,8.856847172364623e-10,7.31996712686234e-07
BFGS,-100,80,2.783220395941491e-06,-2246.8531506357363,-3.140702717453897,22,5.9755695188577545e-06,True,-2245.853147852516,3.524090173174783e-10,3.9599330637017284e-07
BFGS,-100,90,-2.1989495612995777e-06,-11369.449822860113,-3.141416751310944,32,4.382455624725101e-06,True,-11368.449825059062,2.7213499016563713e-12,1.5470805231012014e-08
BFGS,-100,100,4.699038513903841e-06,-27870.185513899152,-3.141520893581605,41,9.400652128216361e-06,True,-27869.185509200113,1.847638679433621e-13,2.5747478093971e-09
BFGS,-90,-100,5.202257345671013e-07,-67199635.23546134,-3.141592623827457,64,1.040451469577093e-06,True,-67199634.23546082,1.3181330051368478e-23,4.4289028898042177e-16
BFGS,-90,-90,3.77913902020163e-06,-17052159.391844295,-3.1415925362883166,59,7.558278047281403e-06,True,-17052158.391840518,8.067181028756675e-22,6.87814303893893e-15
BFGS,-90,-80,3.33712264516676e-06,-4323953.6111736465,-3.141592191039058,56,6.674245397304961e-06,True,-4323952.61117031,4.94785270607025e-20,1.0697144024935511e-13
BFGS,-90,-70,1.020253312720606e-06,-42604014.4015523,-3.14159260664482,64,2.040506626543078e-06,True,-42604013.40155128,5.172594188997148e-23,1.1018663995385568e-15
BFGS,-90,-60,3.146122131838185e-06,-942504.8596194412,-3.1415905315760466,50,6.292246515126938e-06,True,-942503.8596162951,4.777585915712842e-18,2.2514501657787664e-12
BFGS,-90,-50,-2.292465400854124e-06,-920194.3101763945,-3.1415904801317236,50,4.584928439760288e-06,True,-920193.310178687,5.133583763277983e-18,2.3619485682769474e-12
BFGS,-90,-40,4.989709696740017e-06,-743655.1878930529,-3.141589964148231,49,9.97942300996169e-06,True,-743654.1878880633,9.726224267130074e-18,3.616480998925493e-12
BFGS,-90,-30,1.00324831071968e-06,-5625245.499370051,-3.1415922980487805,58,2.006496684643709e-06,True,-5625244.499369048,2.247167436587284e-20,6.32043481628636e-14
BFGS,-90,-20,-2.2085504502338285e-06,-14429611.173406687,-3.1415925149810464,61,4.417100890862141e-06,True,-14429610.173408896,1.3313617039290228e-21,9.605516192271627e-15
BFGS,-90,-10,2.8229806882554644e-06,-648846.3005136341,-3.1415895711901123,51,5.645966127082259e-06,True,-648845.3005108112,1.4643115534498083e-17,4.750569331969736e-12
BFGS,-90,0,6.0607994114441656e-15,-562.1937031782863,-3.138038300492175,24,8.933235237891025e-06,True,-561.1937031782863,2.2452236040993355e-08,6.3167512085865655e-06
BFGS,-90,10,1.3147281722139313e-07,-933.1681794767317,-3.139450560240553,28,3.4355773331020218e-06,True,-932.1681793452589,4.9145985407214984e-09,2.2942870027513244e-06
BFGS,-90,20,-5.212018542955146e-06,-1138.646608622292,-3.139836950714761,31,9.015507733107762e-06,True,-1137.6466138343105,2.70598241190812e-09,1.5412485214535727e-06
BFGS,-90,30,-4.2403945790705706e-06,-581.4871556948272,-3.138156132192686,24,6.442272056801481e-06,True,-580.4871599352217,2.029245198427909e-08,5.904873008102173e-06
BFGS,-90,40,3.6847945903475994e-06,-38030.53883738238,-3.1415400649521867,44,7.3709720920893885e-06,True,-38029.53883369759,7.271858662593868e-14,1.3827816904540931e-09
BFGS,-90,50,-3.891207190633991e-06,-933.2556847853662,-3.1394507609781344,25,5.948616824772526e-06,True,-932.2556886765733,4.913216905094174e-09,2.293856989976129e-06
BFGS,-90,60,4.123640957174507e-06,-1092.584748256231,-3.139762966333083,26,1.0061378477096256e-05,True,-1091.58474413259,3.0626874027521965e-09,1.6738803826741717e-06
BFGS,-90,70,3.8975121113223544e-06,-2503.1807914864553,-3.1407938294507582,15,8.120354890002507e-06,True,-2502.180787588943,2.5487305109300835e-10,3.1906008797524335e-07
BFGS,-90,80,1.689942470669233e-06,-14945.1755607064,-3.1414588356133524,35,3.3888503945748585e-06,True,-14944.175559016458,1.1981559882125175e-12,8.953625103977245e-09
BFGS,-90,90,-1.8662952917206126e-06,-77686.62816612015,-3.141566909295746,46,3.732259213904468e-06,True,-77685.62816798645,8.531252385204157e-15,3.313842484256781e-10
BFGS,-90,100,2.018164968884412e-06,-4259.438776823285,-3.141123163220491,38,4.148004932466352e-06,True,-4258.4387748051195,5.1742831955429325e-11,1.102106131617586e-07
BFGS,-80,-100,-1.3561831459753262e-06,-6110064.466155266,-3.141592326259192,53,2.7123662383785943e-06,True,-6110063.466156622,1.7535675791803968e-20,5.3572059156682853e-14
BFGS,-80,-90,-3.1153129574868973e-06,-18933284.642439794,-3.1415925479460163,57,6.230625909394516e-06,True,-18933283.64244291,5.893619103680927e-22,5.5792785505469e-15
