method,x0_x,x0_y,x_final_x,x_final_y,f_final,nit,grad_norm,success,u,A,g_prime
GD,-100,-100,-0.00017322904605837684,-100.03943679292126,-3.1216961942633006,200,0.0002474691481712299,False,-99.03961002196732,3.940417706080316e-06,0.0001979714640889943
GD,-100,-90,-0.00021677462554317486,-90.04862989024907,-3.1194999170978868,200,0.0003089917173917162,False,-89.04884666487462,5.395354784113421e-06,0.0002441004819608139
GD,-100,-80,-0.0002781583043181142,-80.06145561509187,-3.1167595621157522,200,0.00039569795374579857,False,-79.06173377339618,7.663771431019878e-06,0.00030843028869604103
GD,-100,-70,-0.0003683759488866555,-70.0801123394969,-3.1132451683269347,200,0.0005231202973769567,False,-69.08048071544579,1.1402701746217571e-05,0.0004019405589057514
GD,-100,-60,-0.0005083040807940692,-60.10874951904524,-3.10857691706239,200,0.0007207514966462582,False,-59.109257823126036,1.8021914008515713e-05,0.0005452949094818247
GD,-100,-50,-0.0007415845487111232,-50.15597593265683,-3.102081172745722,200,0.0010502496675762077,False,-49.15671751720554,3.090946919643658e-05,0.0007811388055602553
GD,-100,-40,-0.0011724045951486543,-40.24209251315021,-3.0924467205093036,200,0.0016588373087289391,False,-39.24326491774536,5.9551478341309846e-05,0.001208984284729824
GD,-100,-30,-0.002103691060344346,-30.424573075792168,-3.0767894945215772,200,0.002975068430050766,False,-29.426676766852513,0.00013685355773526285,0.0021036249570379516
GD,-100,-20,-0.004767966095451051,-20.917831391405212,-3.0478203307748295,200,0.006761618297248826,False,-19.922599357500662,0.00041707504829089617,0.004412662969269596
GD,-100,-10,-0.02144585960729253,-12.888148271907783,-2.9903927035957407,200,0.03344421182078361,False,-11.909594131515075,0.0017654911199628004,0.011479277552193613
GD,-100,0,-0.009886996785978878,-10.449280473135403,-2.9560780744075874,200,0.017607045999329208,False,-9.45916746992138,0.003331998982413943,0.017453457581178354
GD,-100,10,-0.058936573441114436,-7.439558210629774,-2.8805415581177276,200,0.0904506897509861,False,-6.498494784070888,0.009237385633818427,0.03409419132436293
GD,-100,20,-0.005241738329718321,18.872412402252124,3.0321108300164856,200,0.00749623632546392,False,19.867170663922405,-0.0006676226040262759,0.006029747724563451
GD,-100,30,-0.002119565818671934,29.53200104118601,3.0725458545847273,200,0.003021717277480845,False,30.52988147536734,-0.0001657361679181175,0.0023894331802233057
GD,-100,40,-0.0010166382401540857,39.742011064607475,3.090563123844513,200,0.001493950103151687,False,40.74099442636732,-6.669194658831106e-05,0.0013036750740445667
GD,-100,50,-0.0004277831900932167,49.83625095139637,3.10102241486084,200,0.000824245477735569,False,50.83582316820628,-3.3467306173693586e-05,0.0008236263990250348
GD,-100,60,4.361419840434545e-05,59.88656766957195,3.1078967263286144,200,0.0008671719978121257,False,60.88661128377036,-1.916057716432486e-05,0.0005680159501268425
GD,-100,70,0.0006644923387827159,69.91632205783877,3.11277024249337,200,0.0017933362414553316,False,70.91698655017755,-1.198665911202443e-05,0.0004155434796777849
GD,-100,80,0.00209156240729212,79.93450443047178,3.1164120678415324,200,0.004511529605683279,False,80.93659599287906,-7.994457539821816e-06,0.00031723737431712666
GD,-100,90,0.009285303582465126,89.94069380090869,3.1193146493233734,200,0.018822408405331448,False,90.94997910449115,-5.59684251883887e-06,0.0002501390643135852
GD,-100,100,-2.563328890746661e-05,99.25936611194734,3.121337425411161,200,0.00025648847135924073,False,100.25934047865843,-4.157547928485772e-06,0.00020517744077515172
GD,-90,-100,-0.00017054597966362095,-100.03943947175961,-3.1216961951848345,200,0.000244287078562516,False,-99.03961001773926,3.940417706577819e-06,0.00019797146410565464
GD,-90,-90,-0.00021363235198018472,-90.04863302574303,-3.1194999184486885,200,0.000305178927055362,False,-89.04884665809502,5.395354785326441e-06,0.00024410048199739225
GD,-90,-80,-0.0002744452363865182,-80.06145931678155,-3.1167595641640973,200,0.0003910886640179178,False,-79.06173376201794,7.663771434270919e-06,0.00030843028878324135
GD,-90,-70,-0.00036394390460172765,-70.0801167513376,-3.1132451715644884,200,0.0005174918578152856,False,-69.0804806952422,1.1402701756024645e-05,0.0004019405591361269
GD,-90,-60,-0.0005029521056750723,-60.10875483247309,-3.108576922453588,200,0.0007137979177554905,False,-59.109257784578766,1.802191404297291e-05,0.0005452949101765203
GD,-90,-50,-0.0007350321341657707,-50.155982404180534,-3.10208118235794,200,0.001041535466159388,False,-49.1567174363147,3.0909469344950076e-05,0.0007811388080605483
GD,-90,-40,-0.0011642408732406905,-40.242100482970685,-3.092446739350604,200,0.001647700691769744,False,-39.24326472384393,5.955147919544919e-05,0.001208984296276941
GD,-90,-30,-0.0020932453895527534,-30.42458295346217,-3.0767895371665324,200,0.002960332413064017,False,-29.426676198851723,0.00013685356533548273,0.002103625034770883
GD,-90,-20,-0.004753709518440444,-20.917843318347714,-3.0478204562414377,200,0.006740039506066665,False,-19.922597027866153,0.000417075186583822,0.004412663940902183
GD,-90,-10,-0.021417377575127988,-12.888158528989628,-2.9903937152182842,200,0.03339069495307784,False,-11.909575906564756,0.0017654986094855344,0.011479309728249811
