method,x0_x,x0_y,x_final_x,x_final_y,f_final,nit,grad_norm,success,u,A,g_prime
Newton,-100,-100,0.0,-17340.772556456697,-3.1414773217993357,11,9.405525677878688e-09,True,-17339.772556456697,7.670384157756431e-13,6.650710987452219e-09
Newton,-100,-90,-3.683376080373713e-09,-16476.45556367828,-3.141471271942171,12,7.366752241763384e-09,True,-16475.45556368196,8.941885373563125e-13,7.366752241763384e-09
Newton,-100,-80,0.0,-23416.23467568627,-3.1415072445848793,12,5.158130525699953e-09,True,-23415.23467568627,3.115164570747263e-13,3.647349072967768e-09
Newton,-100,-70,0.0,-22118.62594067723,-3.1415022341033634,12,5.7810812848959195e-09,True,-22117.62594067723,3.696205571726971e-13,4.087841779140544e-09
Newton,-100,-60,0.0,-20820.999104664246,-3.1414965990262487,12,6.5241060218972245e-09,True,-20819.999104664246,4.4312272111240934e-13,4.613239609263518e-09
Newton,-100,-50,0.0,-19523.350562957086,-3.1414902147802146,12,7.420173331531187e-09,True,-19522.350562957086,5.374815733744132e-13,5.246854880305279e-09
Newton,-100,-40,0.0,-18225.675685992086,-3.141482921298939,12,8.514397009057755e-09,True,-18224.675685992086,6.606529061011827e-13,6.020587862819197e-09
Newton,-100,-30,0.0,-16927.968427364474,-3.141474509410244,12,9.869829865935849e-09,True,-16926.968427364474,8.245310315387166e-13,6.9790236273607525e-09
Newton,-100,-20,0.0,-23445.580921792385,-3.1415073514869114,13,5.145226276342664e-09,True,-23444.580921792385,3.103481934513788e-13,3.6382243907411073e-09
Newton,-100,-10,0.0,-21498.882285734682,-3.141499627660875,13,6.1191772708048095e-09,True,-21497.882285734682,4.025149876204487e-13,4.326911743468672e-09
Newton,-100,0,0.0,-19552.08360001123,-3.1414903653167476,13,7.398381074475884e-09,True,-19551.08360001123,5.351155236839563e-13,5.2314454275641134e-09
Newton,-100,10,0.0,-17605.151783095225,-3.1414790537051083,13,9.12516625751539e-09,True,-17604.151783095225,7.329995094005087e-13,6.452466940143802e-09
Newton,-100,20,0.0,-23487.305882715613,-3.141507503022008,14,5.1269620178259065e-09,True,-23486.305882715613,3.0869717380831513e-13,3.6253096096905636e-09
Newton,-100,30,0.0,-20566.24429048948,-3.1414954092238006,14,6.686731772181249e-09,True,-20565.24429048948,4.597940614786939e-13,4.7282333800849015e-09
Newton,-100,40,0.0,-17644.600400898096,-3.1414793076769407,14,9.084410149392796e-09,True,-17643.600400898096,7.280942576014411e-13,6.4236480197155435e-09
Newton,-100,50,0.0,-22083.296117341542,-3.141502089449587,15,5.799593315872613e-09,True,-22082.296117341542,3.713973619696766e-13,4.1009317617777e-09
Newton,-100,60,0.0,-17697.036269559827,-3.1414796435085153,15,9.030657666110258e-09,True,-17696.036269559827,7.216416222292372e-13,6.385639274280844e-09
Newton,-100,70,0.0,-19959.32224683499,-3.14149245229617,16,7.099563714562358e-09,True,-19958.32224683499,5.030254935546339e-13,5.0201496460329975e-09
